"结果来源","接收时间","状态","来源设备","源IP归属地","源IP","源端口","目的IP归属地","目的IP","目的端口","协议","动作","原始日志"
"当前日志","2026-05-16T01:41:34.031326092Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","33312","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:33312, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031325194Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","49351","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:49351, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031324239Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","27635","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:27635, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031318020Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","39815","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:39815, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031317085Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","8961","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:8961, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031316130Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","53281","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:53281, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031315167Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","45341","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:45341, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031314193Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","26861","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:26861, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031313268Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","25061","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:25061, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031312272Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","37499","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:37499, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031311323Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","1292","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:1292, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031310389Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","2938","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:2938, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031309417Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","43803","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:43803, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031308307Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","62740","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:62740, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031281197Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","49517","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:49517, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031280291Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","5336","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:5336, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031279376Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","25079","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:25079, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031278466Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","41332","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:41332, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031277494Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","26517","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:26517, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031272066Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","33975","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:33975, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031271141Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","20324","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:20324, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031270178Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","16653","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:16653, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031269216Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","8740","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:8740, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031268273Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","64630","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:64630, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031267330Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","64458","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:64458, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031266383Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","26697","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:26697, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031265442Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","64442","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:64442, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031264530Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","6080","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:6080, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031263587Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","31155","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:31155, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031262657Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","50979","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:50979, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031261705Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","44347","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:44347, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031250314Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","12300","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:12300, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031249359Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","47952","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:47952, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031248434Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","27153","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:27153, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031247343Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","9693","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:9693, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031215552Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","35221","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:35221, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031214628Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","27243","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:27243, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031213645Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","34317","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:34317, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031212715Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","62088","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:62088, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031211737Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","19613","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:19613, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031210790Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","6616","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:6616, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031209820Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","11220","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:11220, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031208874Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","47767","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:47767, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031207875Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","64407","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:64407, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031206922Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","22844","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:22844, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031205949Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","9925","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:9925, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031204989Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","38340","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:38340, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
"当前日志","2026-05-16T01:41:34.031204061Z","parsed","localhost / 历史导入","亚太","2.55.80.6","54213","公网","211.93.49.88","60831","UDP","snat","Apr 23 20:09:52 localhost nat: 日志类型:NAT日志, NAT类型:snat, 源IP:2.55.80.6, 源端口:54213, 目的IP:211.93.49.88, 目的端口:60831, 协议:17, 转换后的IP:58.216.48.6, 转换后的端口:54213"
